FacilityID,Bays,Floodlit,Holes,Length
"2100014","","","18","5558.64"
"2100015","","","18","6052.41"
"2100017","","","18","5948.17"
"2100018","","","18","5950.92"
"2100019","","","9","2834.64"
"2100020","","","10","5180.08"
"2100021","","","18","5093.21"
"2100022","","","18","5857.65"
"2100023","","","18","5779.01"
"2100024","","","18","5693.05"
"2100025","","","18","5398.62"
"2100027","","","18","4851.81"
"2100031","","","18","6059.73"
"2100032","","","18","6074.36"
"2100033","16","1","","228.6"
"2100035","","","9","2879.45"
"2100037","","","18","5629.05"
"2100038","","","9","746.15"
"2100039","20","1","","274.32"
"2100040","","","18","5718.66"
"2100042","","","9","2348.18"
"2100045","","","9","747.98"
"2100046","","","9","2436.88"
"2100047","","","18","5484.57"
"2100048","","","9","2824.58"
"2100050","","","18","5516.58"
"2100051","","","18","5415.08"
"2100053","","","18","5704.03"
"2100055","","","18","5133.44"
"2100056","","","18","5998.46"
"2100057","","","18","5889.65"
"2100058","","","18","6255.41"
"2100060","","","18","5970.12"
"2100061","","","18","6234.38"
"2100062","","","18","6155.74"
"2100063","","","18","6172.2"
"2100065","","","18","5497.37"
"2100066","","","18","6158.48"
"2100067","","","9","2755.09"
"2100068","","","18","6067.04"
"2100069","","","9","2129.64"
"2100070","","","9","2870.3"
"2100071","14","1","","228.6"
"2100072","","","11","3036.72"
"2100073","","","18","5552.24"
"2100074","","","18","5974.69"
"2100075","","","18","6327.65"
"2100076","","","18","5961.89"
"2100077","12","1","","232.26"
"2100078","","","18","6282.84"
"2100081","12","1","","237.74"
"2100082","","","18","5581.5"
"2100083","","","18","5309.01"
"2100084","20","1","","274.32"
"2100086","","","18","5216.65"
"2100087","","","9","2234.79"
"2100089","","","18","5766.21"
"2100091","","","9","2395.73"
"2100092","15","1","","228.6"
"2100095","","","18","5482.74"
"2100097","","","18","5946.34"
"2100098","","","18","5603.44"
"2100099","","","18","5883.25"
"2100100","","","9","1894.64"
"2100101","","","18","5480"
"2100103","","","9","2410.36"
"2100104","","","18","5483.66"
"2100105","","","18","5231.28"
"2100106","","","18","5883.25"
"2100108","","","9","2632.56"
"2100109","","","18","5124.3"
"2100111","20","1","","310.9"
"2100112","","","18","5544.92"
"2100116","","","18","5948.17"
"2100117","","","18","5743.35"
"2100119","","","18","5469.94"
"2100120","","","18","5611.67"
"2100121","","","18","5654.65"
"2100122","","","18","5536.69"
"2100123","","","10","3173.88"
"2100126","","","18","2857.5"
"2100127","","","18","6015.84"
"2100129","","","18","5702.2"
"2100130","","","18","5737.86"
"2100132","","","9","3097.07"
"2100133","","","9","1554.48"
"2100135","","","18","5706.77"
"2100136","","","18","5756.15"
"2100137","","","9","2003.45"
"2100140","","","18","5547.66"
"2100141","","","9","2860.24"
"2100142","","","18","5602.53"
"2100144","","","18","6129.22"
"2100145","","","9","847.65"
"2100146","","","18","5736.95"
"2100147","","","18","5613.5"
"2100148","","","18","5944.51"
"2100149","14","1","","256.03"
"2100150","","","18","5953.66"
"2100151","","","9","2748.69"
"2100152","","","18","6046.01"
"2100155","","","18","5549.49"
"2100157","","","18","5839.36"
"2100158","","","18","5482.74"
"2100160","","","18","6038.7"
"2100161","","","9","2194.56"
"2100162","","","9","3840.48"
"2100163","","","18","5390.39"
"2100164","","","18","5812.84"
"2100165","12","1","","320"
"2100166","","","18","6130.14"
"2100168","","","18","5757.06"
"2100172","","","9","2747.77"
"2100173","","","9","2836.47"
"2100174","","","9","2116.84"
"2100175","","","18","6050.58"
"2100180","","","18","4968.85"
"2100181","","","18","5020.06"
"2100182","","","18","5708.6"
"2100183","","","18","6191.4"
"2100184","","","9","4665.27"
"2100185","","","9","1206.09"
"2100186","","","18","5537.61"
"2100187","","","18","6187.74"
"2100188","","","18","5553.15"
"2100190","","","9","2925.17"
"2100193","","","18","5896.97"
"2100194","","","18","5695.8"
"2100195","15","1","","182.88"
"2100196","","","18","6202.38"
"2100197","","","18","5978.35"
"2100198","28","1","","246.89"
"2100199","","","18","5688.48"
"2100201","","","18","5340.1"
"2100202","","","9","2774.29"
"2100204","","","18","5777.18"
"2100205","","","18","5896.05"
"2100206","12","1","","219.46"
"2100207","","","18","5728.72"
"2100208","10","1","","256.03"
"2100209","","","9","2700.22"
"2100211","","","9","2198.22"
"2100215","","","18","5745.18"
"2100216","","","18","5378.5"
"2100217","","","18","5849.42"
"2100218","","","9","2676.45"
"2100219","","","18","6064.3"
"2100221","","","18","5953.66"
"2100222","","","9","2149.75"
"2100223","","","18","5672.94"
"2100224","20","1","","274.32"
"2100225","","","9","2649.93"
"2100226","","","18","5536.69"
"2100227","","","18","5450.74"
"2100228","","","18","5501.03"
"2100229","","","18","5898.79"
"2100232","12","1","","274.32"
"2100233","","","18","6067.04"
"2100234","","","18","5669.28"
"2100235","","","18","5527.55"
"2100237","","","18","6039.61"
"2100238","","","9","2200.05"
"2100239","","","18","5769.86"
"2100240","22","1","","246.89"
"2100242","","","18","5943.6"
"2100243","","","18","5932.63"
"2100245","","","9","2953.51"
"2100246","","","18","5914.34"
"2100249","","","18","6267.3"
"2100251","","","18","5943.6"
"2100252","","","18","6045.1"
"2100253","","","18","6051.5"
"2100254","58","1","","256.03"
"2100255","","","18","5860.39"
"2100256","","","18","6492.24"
"2100257","","","9","5596.13"
"2100258","","","18","5472.68"
"2100259","","","18","5870.45"
"2100260","","","18","5789.07"
"2100262","","","18","5817.41"
"2100263","","","18","5750.66"
"2100264","","","18","6333.13"
"2100265","","","18","6080.76"
"2100266","","","18","5960.06"
"2100267","","","18","5906.11"
"2100268","","","9","1148.49"
"2100269","","","18","5524.8"
